sep=\t
Module Resource Usage Distribution Estimates
Generated at: Oct 21, 2025 20:43:20

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	         FFs	        SRLs	        ADDs	        LUTs	    COMB4s	      RAMs	 DSP/MULTs
      +controller_main:ddr_3_controller_5ee7df9aa375494db25875c4929bcb33	 1166(1166)	   146(146)	   103(103)	   839(822)	     0(0)	     4(0)	     0(0)	
       +map_ram:user_dual_port_ram_5ee7df9aa375494db25875c4929bcb33(DATA_WIDTH=72,OUTPUT_REG="FALSE",RAM_INIT_FILE="ddr3_controller.bin")	       0(0)	       0(0)	       0(0)	     17(17)	     0(0)	     4(4)	     0(0)	
     +rst_top0:reset_ctrl_5ee7df9aa375494db25875c4929bcb33(NUM_RST=2,CYCLE=5,IN_RST_ACTIVE=2'b0,OUT_RST_ACTIVE=2'b0)	      10(0)	       2(0)	       0(0)	       2(0)	     0(0)	     0(0)	     0(0)	
      +genblk1[0].genblk1.genblk1.inst_sysclk_rstn:reset_sub_5ee7df9aa375494db25875c4929bcb33(OUT_RST_ACTIVE="LOW",CYCLE=5)	       5(5)	       1(1)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
      +genblk1[1].genblk1.genblk1.inst_sysclk_rstn:reset_sub_5ee7df9aa375494db25875c4929bcb33(OUT_RST_ACTIVE="LOW",CYCLE=5)	       5(5)	       1(1)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
     +phase_u0:phase_shift_5ee7df9aa375494db25875c4929bcb33 	     11(11)	       0(0)	       0(0)	     12(12)	     0(0)	     0(0)	     0(0)	
 +axi4_awar_mux:AXI4_AWARMux(AID_LEN=4)                     	       6(6)	       0(0)	       0(0)	       7(7)	     0(0)	     0(0)	     0(0)	
 +u_i2c_timing_ctrl_16bit:i2c_timing_ctrl_16bit(CLK_FREQ=96000000,I2C_FREQ=10000)	    111(89)	       0(0)	     47(42)	   166(159)	     0(0)	     0(0)	     0(0)	
  +u_afifo_w24d16_r24d16:afifo_w24d16_r24d16                	      22(0)	       0(0)	       5(0)	       7(0)	     0(0)	     0(0)	     0(0)	
   +u_efx_fifo_top:efx_fifo_top_97de8c1d535c46caaff94d8f5a5d7caa(FAMILY="TITANIUM",MODE="FWFT",DEPTH=16,DATA_WIDTH=24,OPTIONAL_FLAGS=0,PROGRAMMABLE_FULL="NONE",PROG_FULL_ASSERT=13,PROG_FULL_NEGATE=13,PROGRAMMABLE_EMPTY="NONE",PROG_EMPTY_ASSERT=0,PROG_EMPTY_NEGATE=0,OVERFLOW_PROTECT=0,UNDERFLOW_PROTECT=0)	      22(0)	       0(0)	       5(0)	       7(0)	     0(0)	     0(0)	     0(0)	
    +genblk2.genblk1.efx_resetsync_rd_rst:efx_resetsync_97de8c1d535c46caaff94d8f5a5d7caa(ACTIVE_LOW=0)	       2(0)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +active_high.efx_resetsync_active_high:efx_asyncreg_97de8c1d535c46caaff94d8f5a5d7caa(WIDTH=1,ACTIVE_LOW=0,RST_VALUE=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
    +xefx_fifo_ctl:efx_fifo_ctl_97de8c1d535c46caaff94d8f5a5d7caa(SYNC_CLK=0,MODE="FWFT",WR_DEPTH=16,WADDR_WIDTH=4,RADDR_WIDTH=4,ALMOST_FLAG=0,PROG_FULL_ASSERT=13,PROG_FULL_NEGATE=13,HANDSHAKE_FLAG=0)	     20(10)	       0(0)	       5(5)	       7(3)	     0(0)	     0(0)	     0(0)	
     +async_clk.wr2rd_addr_sync:efx_asyncreg_97de8c1d535c46caaff94d8f5a5d7caa(WIDTH=5,ACTIVE_LOW=0)	     10(10)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +async_clk.wr2rd_gray2bin:efx_fifo_gray2bin_97de8c1d535c46caaff94d8f5a5d7caa	       0(0)	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	     0(0)	
      +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_97de8c1d535c46caaff94d8f5a5d7caa(WIDTH=4)	       0(0)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	     0(0)	
       +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_97de8c1d535c46caaff94d8f5a5d7caa(WIDTH=3)	       0(0)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	     0(0)	
        +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_97de8c1d535c46caaff94d8f5a5d7caa(WIDTH=2)	       0(0)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
 +dsi_pwm:PWMLite                                           	       8(8)	       0(0)	       6(6)	       2(2)	     0(0)	     0(0)	     0(0)	
 +mipi_rx_0:csi_rx                                          	     778(0)	       0(0)	     149(0)	    1598(0)	     0(0)	     8(0)	     0(0)	
  +u_efx_csi2_rx:efx_csi2_rx_cc450cec25ee4b728428ccbe46b03b47(tINIT_NS=1000,NUM_DATA_LANE=1,HS_BYTECLK_MHZ=100,CLOCK_FREQ_MHZ=96,ENABLE_USER_DESKEWCAL=1'b0,ENABLE_VCX=1'b0,PACK_TYPE=15)	     778(0)	       0(0)	     149(0)	    1598(0)	     0(0)	     8(0)	     0(0)	
   +dphy_rx_inst:efx_dphy_rx_cc450cec25ee4b728428ccbe46b03b47(HS_BYTECLK_MHZ=100,CLOCK_FREQ_MHZ=96,NUM_DATA_LANE=1,ENABLE_USER_DESKEWCAL=1'b0)	     114(0)	       0(0)	      12(0)	     189(0)	     0(0)	     0(0)	     0(0)	
    +genblk3[0].rx_dlane_fsm_inst:dphy_rx_dlane_fsm_cc450cec25ee4b728428ccbe46b03b47(HS_BYTECLK_MHZ=100,CLOCK_FREQ_MHZ=96)	     33(33)	       0(0)	     12(12)	     93(93)	     0(0)	     0(0)	     0(0)	
    +genblk3[0].rx_dword_align_inst:dphy_rx_dword_align_cc450cec25ee4b728428ccbe46b03b47	     81(81)	       0(0)	       0(0)	     96(96)	     0(0)	     0(0)	     0(0)	
   +csi2_rx_top_inst:efx_csi2_rx_top_cc450cec25ee4b728428ccbe46b03b47(HS_DATA_WIDTH=8,tINIT_NS=1000,CLOCK_FREQ_MHZ=96,NUM_DATA_LANE=1,PACK_TYPE=15,ENABLE_VCX=1'b0)	    664(27)	       0(0)	    137(17)	   1409(12)	     0(0)	     8(0)	     0(0)	
    +syncreg_1:efx_asyncreg_cc450cec25ee4b728428ccbe46b03b47(WIDTH=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
    +syncreg_2:efx_asyncreg_cc450cec25ee4b728428ccbe46b03b47(WIDTH=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
    +depacketizer_inst:efx_csi2_depacketizer_cc450cec25ee4b728428ccbe46b03b47(ENABLE_VCX=1'b0)	   167(142)	       0(0)	     17(17)	   325(234)	     0(0)	     0(0)	     0(0)	
     +genblk4.ecc_check_inst:efx_csi2_ecc_check_cc450cec25ee4b728428ccbe46b03b47	     25(25)	       0(0)	       0(0)	     91(91)	     0(0)	     0(0)	     0(0)	
    +genblk2.lane_aligner_inst:efx_csi2_lane_aligner_cc450cec25ee4b728428ccbe46b03b47(NUM_DATA_LANE=1)	      18(1)	       0(0)	       5(0)	      14(1)	     0(0)	     1(0)	     0(0)	
     +genblk1[0].u1_inst:efx_fifo_top_cc450cec25ee4b728428ccbe46b03b47(SYNC_CLK=1,MODE="FWFT",DEPTH=16,DATA_WIDTH=8,OPTIONAL_FLAGS=0,PROGRAMMABLE_FULL="NONE",PROG_FULL_ASSERT=16,PROG_FULL_NEGATE=16,PROGRAMMABLE_EMPTY="NONE",PROG_EMPTY_ASSERT=0,PROG_EMPTY_NEGATE=0)	      17(0)	       0(0)	       5(0)	      13(0)	     0(0)	     1(0)	     0(0)	
      +genblk2.efx_resetsync_a_rst:efx_resetsync_cc450cec25ee4b728428ccbe46b03b47(ACTIVE_LOW=0)	       2(0)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
       +active_high.efx_resetsync_active_high:efx_asyncreg_cc450cec25ee4b728428ccbe46b03b47(WIDTH=1,ACTIVE_LOW=0,RST_VALUE=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
      +xefx_fifo_ram:efx_fifo_ram_cc450cec25ee4b728428ccbe46b03b47(WR_DEPTH=16,RD_DEPTH=16,WADDR_WIDTH=4,RADDR_WIDTH=4,OUTPUT_REG=0,RAM_MUX_RATIO=1)	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
      +xefx_fifo_ctl:efx_fifo_ctl_cc450cec25ee4b728428ccbe46b03b47(MODE="FWFT",WR_DEPTH=16,WADDR_WIDTH=4,RADDR_WIDTH=4,ALMOST_FLAG=0,PROG_FULL_ASSERT=16,PROG_FULL_NEGATE=16,HANDSHAKE_FLAG=0,OVERFLOW_PROTECT=1,UNDERFLOW_PROTECT=1)	     15(15)	       0(0)	       5(5)	     13(13)	     0(0)	     0(0)	     0(0)	
    +genblk3.byte2pixel_inst:efx_csi2_byte2pixel_cc450cec25ee4b728428ccbe46b03b47(PIXEL_FIFO_DEPTH=1024,ENABLE_VCX=1'b0,PACK_TYPE=15)	    448(40)	       0(0)	     98(65)	  1058(183)	     0(0)	     7(0)	     0(0)	
     +syncreg_0:efx_asyncreg_cc450cec25ee4b728428ccbe46b03b47(WIDTH=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +syncreg_1:efx_asyncreg_cc450cec25ee4b728428ccbe46b03b47(WIDTH=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +syncreg_2:efx_asyncreg_cc450cec25ee4b728428ccbe46b03b47(WIDTH=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +syncreg_3:efx_asyncreg_cc450cec25ee4b728428ccbe46b03b47(WIDTH=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +syncreg_4:efx_asyncreg_cc450cec25ee4b728428ccbe46b03b47(WIDTH=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +syncreg_5:efx_asyncreg_cc450cec25ee4b728428ccbe46b03b47(WIDTH=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +syncreg_6:efx_asyncreg_cc450cec25ee4b728428ccbe46b03b47(WIDTH=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +syncreg_7:efx_asyncreg_cc450cec25ee4b728428ccbe46b03b47(WIDTH=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +syncreg_8:efx_asyncreg_cc450cec25ee4b728428ccbe46b03b47(WIDTH=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +syncreg_9:efx_asyncreg_cc450cec25ee4b728428ccbe46b03b47(WIDTH=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +syncreg_10:efx_asyncreg_cc450cec25ee4b728428ccbe46b03b47(WIDTH=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +syncreg_11:efx_asyncreg_cc450cec25ee4b728428ccbe46b03b47(WIDTH=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +syncreg_12:efx_asyncreg_cc450cec25ee4b728428ccbe46b03b47(WIDTH=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +syncreg_13:efx_asyncreg_cc450cec25ee4b728428ccbe46b03b47(WIDTH=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +syncreg_14:efx_asyncreg_cc450cec25ee4b728428ccbe46b03b47(WIDTH=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +syncreg_15:efx_asyncreg_cc450cec25ee4b728428ccbe46b03b47(WIDTH=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +syncreg_16:efx_asyncreg_cc450cec25ee4b728428ccbe46b03b47(WIDTH=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +syncreg_17:efx_asyncreg_cc450cec25ee4b728428ccbe46b03b47(WIDTH=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +syncreg_18:efx_asyncreg_cc450cec25ee4b728428ccbe46b03b47(WIDTH=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +syncreg_20:efx_asyncreg_cc450cec25ee4b728428ccbe46b03b47(WIDTH=2)	       4(4)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +syncreg_23:efx_asyncreg_cc450cec25ee4b728428ccbe46b03b47(WIDTH=16)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +syncreg_24:efx_asyncreg_cc450cec25ee4b728428ccbe46b03b47(WIDTH=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +syncreg_25:efx_asyncreg_cc450cec25ee4b728428ccbe46b03b47(WIDTH=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
